Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
1	Jason Boris - Times News	57	89	38	15	199
2	Peter Schrager - NFL.com	62	77	40	12	191
3	Chet Gresham - SB Nation	56	84	40	10	190
4	Tyler Loechner - FTN	64	78	32	11	185
5	Matthew Freedman - Fantasy Life	56	84	32	10	182
6	Francisco (Chato) Romero - Estadio Fantasy	61	73	32	14	180
7	Steve VanDusen - Mock Draft Database	57	73	38	12	180
8	Justin Bales - FFToday	58	76	32	13	179
9	Lou Pickney - Draft King	57	75	36	11	179
10	Scott Smith - RotoViz	57	81	32	9	179
11	Kyle Stackpole	51	75	40	12	178
12	Ben Wasley - The Fantasy First Down	50	82	34	12	178
13	Jeff Ratcliffe - FTN	54	85	30	9	178
14	Chris Meaney - FTN	60	82	28	8	178
15	Jake Arthur - Sports Illustrated	56	77	34	9	176
16	Mel Kiper Jr. - ESPN	51	80	36	9	176
17	Mark Craig - Star Tribune	57	73	34	11	175
18	Staff - Draft Blaster	55	77	32	11	175
19	Pat Fitzmaurice - FantasyPros	53	81	30	11	175
20	Jay Skurski - The Buffalo News	57	74	34	10	175
21	Danny Kelly - The Ringer	56	82	30	7	175
22	Sean Koerner - The Action Network	52	82	30	10	174
23	Steve Serby - NY Post	46	85	34	9	174
24	Andrew Erickson - FantasyPros	54	71	36	12	173
25	Derek Brown - FantasyPros	57	75	30	11	173
26	Nate Bouda - NFL Trade Rumors	51	79	32	11	173
27	Greg Cote - Miami Herald	51	74	38	10	173
28	Michael Middlehurst-Schwartz	51	80	34	8	173
29	Jordan Reid - ESPN	57	80	26	9	172
30	Nate Davis - USA Today	54	77	28	12	171
31	Andrew Lalama - RotoBaller	50	74	36	11	171
32	Tom Fornelli - CBS Sports	46	79	34	11	170
33	Jonathan Jones - CBS Sports	53	79	28	10	170
34	Albert Breer - The MMQB	50	79	32	9	170
35	Sam Hoppen - FantasyPros	50	79	32	9	170
36	NFL Nation - ESPN	54	82	26	8	170
37	Matt Donnelly - Dynasty Vipers	50	80	30	9	169
38	Bucky Brooks - NFL.com	49	81	30	9	169
39	Trevor Sikkema - Pro Football Focus	55	76	30	8	169
40	Rich Piazza - Fantasy Shed	50	85	26	8	169
41	Jacob Piccolo - TrueRGM	56	79	26	7	168
42	Hayden Winks - Underdog Fantasy	51	78	28	10	167
43	Staff - Tankathon	45	78	34	10	167
44	Calvin Watkins - Dallas Morning News	52	70	36	9	167
45	Luke Easterling - Athlon Sports	55	74	30	8	167
46	Ed Birdsall - Talking Points Sports	45	77	34	10	166
47	Ben Standig - The Athletic	49	83	26	8	166
48	Ray Mencio - NFL Rough Draft	47	83	28	8	166
49	Zach Greubel - Gridiron Experts	46	75	32	12	165
50	Russell Brown - FantasyPros	47	78	30	10	165
51	Kevin Hanson - EDSFootball	46	78	30	10	164
52	Daniel Jeremiah - NFL.com	53	75	28	8	164
53	Sam Farmer - LA Times	52	76	28	8	164
54	Thor Nystrom - Fantasy Life	46	84	28	6	164
55	Logan Lamorandier - Sports Illustrated	54	78	22	9	163
56	Kyle Meinke - MLive	55	72	28	8	163
57	Charles Davis - NFL.com	47	76	32	8	163
58	Matthew Jones - Draft Examiner	42	81	32	8	163
59	Ben Allbright - KOA Colorado	42	81	32	8	163
60	Jacob Camenker - USA Today	49	73	30	10	162
61	Adam Hill - Las Vegas Review-Journal	48	77	28	9	162
62	Keith Sanchez	53	70	32	7	162
63	Jonathan Stone - Stone Cold Fantasy	53	71	28	9	161
64	Mike Randle - FTN	52	74	26	9	161
65	Jody Smith - Draft Sharks	48	76	28	9	161
