# NFLMDD 2025 Final Accuracy Scores
# Source: nflmockdraftdatabase.com/mock-drafts/2025/final-scores
# IMPORTANT: NFLMDD scores individual mock draft SUBMISSIONS, not analysts.
# The same analyst can appear multiple times (different mock drafts submitted).
# Total: 1530 mock drafts scored. Paginated 27/page.
# For X Score: group by analyst, take best score.
# Scoring: team=10pts, position=10pts, player=10pts, team+pos+player combo=100pt bonus
# Scores displayed as % out of 100%.

# TOP 108 ENTRIES (pages 1-4):
Rank	Analyst	Outlet	Score%
1	Nick Jacobs	KSHB	38.94%
2	Freddy Branson	Johns Hopkins News-Letter	36.3%
3	Matthew Freedman	Fantasy Life	33.89%
4	Mike Band	NFL.com	33.65%
5	Andrew Erickson	Fantasy Pros	33.41%
6	Matthew Jones	Fantasy Pros	33.17%
7	Nick Brinkerhoff	USA Today	33.17%
8	Dan Hope	Eleven Warriors	32.69%
9	Jacob Camenker	USA Today	31.01%
10	Anthony Amico	In The Aggregate	30.77%
11	Seth Quinn	Newsweek	30.77%
12	Matt Brandon	SI	30.77%
13	Brad Biggs	Chicago Tribune	30.29%
14	Jared Smola	Draft Sharks	30.29%
15	Ryan Wilson	CBS	30.05%
16	Ryan Wilson	CBS	30.05%
17	Scotty Payne	Mile High Report	30.05%
18	Trevor Sikkema	Pro Football Focus	30.05%
19	Anthony Rizzuti	Panthers Wire	29.81%
20	John Kosko	Pro Football Focus	29.57%
21	Michael Fabiano	SI	29.57%
22	Phil Perry	NBC Sports Boston	29.33%
23	Scott Smith	RotoViz	29.33%
24	Josh Edwards	CBS	29.09%
25	Ryan Wilson	CBS	29.09%
26	Dan Parr	NFL.com	28.85%
27	Jordan Reid	ESPN	28.61%
28	Pete Prisco	CBS	28.13%
29	Matthew Freedman	Fantasy Life	28.13%
30	Pat Fitzmaurice	Fantasy Pros	28.13%
31	Nate Bouda	NFL Trade Rumors	28.13%
32	Ryan Novozinsky	NJ.com	28.13%
33	Aaron Jurkowitz	Outer Banks Voice	28.13%
34	Matt Brandon	SI	28.13%
35	Michael Fabiano	SI	28.13%
36	HC Green	The Huddle	28.13%
37	Nick Guarisco	Fantasy Law Guy	27.88%
38	Kent Weyrauch	Fantasy Pros	27.88%
39	Michelle R. Martinelli	For The Win	27.88%
40	Dan Parr	NFL.com	27.88%
41	Gordon McGuinness	Pro Football Focus	27.88%
42	Jacob Infante	Pro Football Network	27.88%
43	Sam Teets	Sports Talk	27.88%
44	Ayrton Ostly	USA Today	27.88%
45	Joe Rivera	USA Today	27.88%
46	Josh Edwards	CBS	27.64%
47	John Daigle	Establish The Run	27.64%
48	Matthew Freedman	Fantasy Life	27.64%
49	Alfredo Brown	Football Guys	27.64%
50	Nick Wright	Fox Sports	27.64%
