RANK,2025 KING of the HILL,5 YR,25,24,23,22,21
1,Jason Boris - Times News /,48.2,51,59,40,40,51
2,Brendan Donahue - Sharp Football Analysis,44.2,46,44,42,40,49
3,Jared Smola - Draft Sharks,43.4,49,48,32,46,42
4,Lou Pickney - Mock Draft NFL,43.4,39,45,43,41,49
5,Scott Smith - 4for4,43.2,48,43,41,46,38
6,Matthew Freedman - Fantasy Life,43.2,43,48,39,43,43
7,Russell Brown - FantasyPros / LionsWire,43.2,36,48,40,45,47
8,Josh Norris - Underdog /,42.8,43,38,36,38,59
9,Xavier Cromartie - Fantasy Football Metrics,42.8,39,47,35,41,52
10,Brian Johannes - The Huddle Report,42.6,43,49,32,44,45
11,David P. Woods - theScore,42.4,44,39,36,39,54
12,Forrest N Long - The Huddle Report //,42.4,43,42,39,48,40
13,John Daigle - Establish The Run,42.4,41,43,44,39,45
14,Brian Phlipot - The Football Hub,42.2,41,46,39,37,48
15,Matthew Jones - FantasyPros,42.2,41,43,38,41,48
16,Ben Standig - The Athletic /// ,42.2,39,45,37,48,42
17,Peter Clarke - The Huddle Report,42.0,43,45,36,41,45
18,Tom Downey - Chat Sports,42.0,39,46,37,45,43
19,Trevor Sikkema - PFF,41.8,43,42,39,35,50
20,Ryan McCrystal - Draft Ace,41.8,40,51,34,43,41
21,Michael Middlehurst-Schwartz - USA TODAY,41.8,37,44,37,45,46
22,Ryan Towles - The Huddle Report,41.6,43,49,38,42,36
23,Eddie Brown - San Diego Union Tribune,41.6,39,44,35,45,45
24,Mike Band - Next Gen Stats/RosterWatch /,41.6,36,53,37,39,43
25,Jonathan Cook - The Huddle Report,41.4,41,48,35,44,39
26,Benji Klotz - Touchdown Squad,41.2,44,45,37,42,38
27,Jeremy Bissett - The Bissett Perspective,41.2,41,43,39,40,43
28,Lance Zierlein - NFL.com,41.2,38,44,39,42,43
29,Rob Staton - Seahawks Draft Blog,41.0,43,42,38,35,47
30,Daniel Jeremiah - NFL Network,40.8,42,42,43,40,37
31,Kennedy Paynter - Drafttek,40.8,41,46,38,44,35
32,Shawn Baptist - The Huddle Report,40.8,38,47,35,40,44
33,Peter Schrager - NFL Network,40.6,42,53,31,41,36
34,Eric Galko - Optimum Scouting,40.6,41,42,36,42,42
35,Andrew Lalama - RotoBaller,40.6,36,50,34,43,40
36,Scott Atkins - FullTime Fantasy,40.4,42,37,40,38,45
37,Dan Hope - Eleven Warriors,40.2,47,49,30,33,42
38,Kevin Hanson - Eat Drink & Sleep Football /,40.2,46,48,32,34,41
39,Shane P. Hallam - Draft Sharks,40.2,36,39,38,42,46
40,Kyle Crabbs - The 33rd Team,40.0,43,42,33,38,44
41,Dylan Chappine - Wolf Sports,40.0,38,46,35,39,42
42,Sean Green - SGPN /,40.0,38,42,45,31,44
43,Walt Deptula - The Roar FM,39.6,40,43,42,39,34
44,Hayden Winks - Underdog Fantasy,39.6,40,41,36,39,42
45,Eric Edholm - NFL.com,39.6,37,41,30,45,45
46,Brett Clancy - Drafttek,39.4,45,37,35,38,42
47,Dan Bilicki - Toronto Sun,39.4,44,45,27,38,43
48,Enoch Autry - The Clayton Tribune,39.2,39,44,31,36,46
49,JT Olson - Bucs Report,39.2,38,38,35,42,43
50,Mark Niemi - The Huddle Report,39.0,46,43,34,38,34
51,Jimmy Kempski - Philly Voice,39.0,38,39,32,43,43
52,Jason Pruett - DRAFTPLEX /,39.0,37,45,36,36,41
53,Jaime Eisner - The Draft Network,38.8,44,47,30,31,42
54,Michael Levitsky - The Future,38.8,43,41,32,40,38
55,Brentley Weissman- PFSN,38.8,38,40,31,40,45
56,Bill Dow - NFL Draft Shark,38.8,37,50,31,35,41
57,Sam Farmer - Los Angeles Times,38.8,37,44,31,41,41
58,Michael Campbell - The Draft Zone,38.8,37,38,36,42,41
59,Robby Esch - The Huddle Report /,38.8,34,45,34,41,40
60,George Carmi - The Big Doug & Carmi Show ,38.2,39,44,37,35,36
61,Alex Dunlap - RosterWatch,38.2,35,40,39,37,40
62,Tony Martone - The Future,38.0,41,42,37,33,37
63,Josh Greene - Fox Sports Spartanburg,38.0,39,43,31,32,45
64,David Payne - DraftTek,38.0,38,41,38,31,42
65,Mike Luchene - NFL Rough Draft,38.0,38,37,33,44,38
66,JP Miguel - 10 Jardas,37.6,38,42,32,37,39
67,Doug Martz - Draft Board Guru,37.4,41,38,36,35,37
68,Drew Boylhart - The Huddle Report,37.2,37,42,32,32,43
69,Hunter Ansley - Drafticipation,37.2,37,38,32,43,36
70,Anthony Amico - In the Aggregate,37.2,37,35,32,36,46
71,Brian Bosarge - Draft Countdown,36.8,31,37,40,39,37
72,Mike Mihalovich - Couch Scout,36.6,34,39,32,41,37
73,James Fedewa - National Fanatic,36.4,40,38,31,35,38
74,Ray Mencio - NFL Rough Draft,36.4,32,41,35,39,35
75,Joe Marino - Locked on NFL Scouting /,36.0,36,36,31,33,44
76,Alex Boylhart - The Huddle Report,35.8,32,45,28,37,37
77,Benjamin Robinson - Grinding the Mocks,34.6,33,38,34,30,38
78,Frank Coyle - Draft Insiders,34.4,35,39,32,31,35
79,Rob Rang - FOX Sports.com,33.8,33,32,34,34,36
-,Ron Stewart - Youtube /,35.8,48,45,38,48,0
-,Andrew Erickson - FantasyPros,33.8,45,50,33,41,0
-,Michael Delaney - The Huddle Report,32.6,40,42,38,43,0
-,Ross Jacobs - Fantasy Football Metrics,32.0,41,50,28,41,0
-,Nick Jacobs - KSHB-TV /,31.4,52,43,26,36,0
-,Jonah Anderson - Draft Dive,30.6,39,48,31,35,0
-,Collin Haalboom - SI / Bucs Gameday,30.4,35,42,36,39,0
-,Kent Weyrauch - Fantasy Pros,30.4,39,36,39,38,0
-,Clevta - Clevanalytics,30.0,43,39,32,36,0
-,Michael Marino - The Huddle Report,30.0,37,45,31,37,0
-,Anthony Macari - Pro Football War Room,29.8,40,43,27,39,0
-,Cam Marino - NFL Draft Buzz,29.8,38,35,40,36,0
-,Cody Carpentier - RosterWatch,29.8,39,40,39,31,0
-,Jody Smith – FullTime Fantasy,29.8,37,40,32,40,0
-,Ryan Noonan - 4for4,29.8,43,33,35,38,0
-,Thor Nystrom - Fantasy Life,29.8,34,40,32,43,0
-,Nathan Cooper - Sports Info Solutions ,29.2,36,37,33,40,0
-,Scott Carasik - ScarDraft,27.2,33,38,32,33,0
-,Mark Morales-Smith - FantasySP,27.0,34,41,28,32,0
-,Tyler Forness - A TO Z Sports,26.8,34,33,31,36,0
-,Sam Teets - Sports Talk with Sam Teets /,-,45,43,45,0,0
-,Cory Rindone - The Huddle Report /,-,52,50,38,0,0
-,Dan Wilkins - theScore ,-,41,43,44,0,0
-,Pete Domínguez - Mundo NFL,-,40,50,37,0,0
-,Brandon Murchison - Rotoballer,-,43,45,38,0,0
-,Joe Baider - Legit Football,-,48,44,33,0,0
-,Roy Countryman - Big Country Scouting,-,40,48,36,0,0
-,Dan Kornhauser - The Grueling Truth,-,39,46,38,0,0
-,Jay Arsht - High Floor Football,-,39,46,37,0,0
-,Mark Ringo - Sleepers and Busts,-,40,44,37,0,0
-,Michael Lisman - Against The Blitz,-,41,41,39,0,0
-,Kyle Lindemann - Gridiron Ratings,-,39,46,35,0,0
-,Lukas Berry - BLEAV ,-,37,42,41,0,0
-,Sean Balzer - NFL Draft Lounge,-,45,43,32,0,0
-,Matthew Betz - The Fantasy Footballers,-,38,44,36,0,0
-,Jeff Bell - Footballguys,-,41,42,33,0,0
-,Nick Barrett - Football Nick,-,38,41,35,0,0
-,Jeremy Greene - ESPN Radio Asheville,-,31,46,36,0,0
-,Julian Rubalcaba - The Rap Up,-,36,44,33,0,0
-,Brett Whitefield - Fantasy Points,-,41,37,33,0,0
-,Dustin Ludke - Fantasy Advice Network,-,41,39,30,0,0
-,Lucas Pohl - The Huddle Report,-,40,36,31,0,0
-,Mike Randle - FTN,-,33,42,31,0,0
-,Justin Melo - The Draft Network,-,34,40,29,0,0
-,Christian Williams - The Devy Royale,-,40,34,28,0,0
-,Frank Williams - The Huddle Report,-,45,48,0,0,0
-,Antonello Di Filippo - Bet Italia Web,-,48,43,0,0,0
-,Theo Gremminger - Fantasy Points ,-,47,40,0,0,0
-,Los Angeles Times - Beat-Writers,-,41,44,0,0,0
-,Nate Bouda - NFL Trade Rumors,-,41,44,0,0,0
-,Alex Ayers - The Sunday Slate,-,35,49,0,0,0
-,Connor Rogers - NBC Sports,-,40,41,0,0,0
-,Ryan Krauchick - The Huddle Report,-,38,42,0,0,0
-,Buddy Mangine - Drafttek,-,35,42,0,0,0
-,Logan Ulrich - NFL Trade Rumors,-,33,44,0,0,0
-,Ryan Kramer - Sports Gambling Podcast,-,35,41,0,0,0
-,Ethan Woodie - NFL Trade Rumors,-,34,40,0,0,0
-,Lincoln Glymph - DefyLife,-,34,40,0,0,0
-,Connor Allen - 4for4,-,38,35,0,0,0
-,Matt De Lima - Dr. Roto,-,34,39,0,0,0
-,Brad Menendez - Draft Countdown,-,33,39,0,0,0
-,Ric Serritella - NFL Draft Bible,-,34,38,0,0,0
-,Brian McFadden - Legit Football,-,36,35,0,0,0
-,KC Proctor - The Sunday Slate,-,32,31,0,0,0
-,PJ Moran - Eepiblogue,-,32,27,0,0,0
